Presbytery,Church,Phone,Website,Email,Pastor,Review Date,Elders on Website? (Y/N),Deacons on Website? (Y/N),Other Staff on Website? (Y/N),Shepherdesses? (Y/N),Deaconesses? (Y/N),Website Status
Arizona,Ascension Church of Phoenix,601-209-5609,ascensionphx.org,gray@ascensionphx.org,Rev. Gray A. Ewing,09-24-25,Y,Y,Y,N,Y,Functional
Arizona,Catalina Foothills Church,520-615-8500,www.cfcpca.org,cfc@cfcpca.org,-,09-24-25,Y,N,Y,N,,Functional
Arizona,Church of the Resurrection,928-699-2715,www.cor-pca.org,corflagstaff@gmail.com,Rev. Joshua Walker,09-23-25,Y,Y,Y,N,N,Functional
Arizona,Covenant Presbyterian Church,623-584-7417,www.covenantsuncitywest.org,covenantscw@gmail.com,Rev. Paul Muresan,09-24-25,Y,Y,Y,N,N,Functional
Arizona,Desert Palms Church,480-422-2499,www.desertpalmschurch.com,office@desertpalmschurch.com,Rev. Kelley Hand,09-24-25,Y,Y,Y,N,N,Functional
Arizona,Desert Springs Presbyterian Church,520-742-8990,www.desertspringspca.org,dsrtsprngs@gmail.com,-,09-24-25,Y,Y,N,N,N,Functional
Arizona,Fellowship of Grace Church,623-979-3514,www.fgcpca.org,office@fgcpca.org,Rev. Jonathan Foster,09-24-25,Y,N,N,N,,Functional
Arizona,Grace Presbyterian Church,520-458-0034,www.gpcsv.org,office@gpcsv.org,Rev. Judson Marvel,09-24-25,Y,Y,N,N,N,Functional
Arizona,Holy Cross Church,520-222-9709,www.holycrosstucson.com,info@holycrosstucson.com,-,09-24-25,Y,Y,N,N,N,Functional
Arizona,Hope Community Church,480-269-4517,hopecc.church,jc@hopecc.church,Rev. James Curtis Baysinger,09-24-25,N,N,N,,,Functional
Arizona,King of Kings,480-578-9267,www.kkchurch.org,office@kkchurch.org,Rev. Joshua Harp,09-24-25,Y,Y,Y,N,N,Functional
Arizona,Midtown Presbyterian Church,678-849-7918,mpctucson.org,office@mpctucson.org,Rev. Charles Garland,09-23-25,N,N,Y,,,Functional
Arizona,New City Barrio Nuevo Phoenix,480-236-1400,www.newcity-barrionuevo.com,newcity53@icloud.com,Rev. David E. Bennett,N/A,,,,,,Broken
Arizona,New Valley Church,480-940-5560,www.newvalleychurch.org,amanda@newvalleychurch.org,Rev. Scott Brown,09-24-25,Y,Y,Y,N,Y,Functional
Arizona,Reconciled Church of South Scottsdale,480-331-1333,reconciledchurchaz.org,info@rcssaz.org,Rev. Brad Chaney,09-24-25,N,N,N,,,Functional
Arizona,Rincon Mountain Presbyterian Church,520-327-2390,www.rinconpres.org,office@rinconpres.org,Rev. Phil Scott Kruis,09-24-25,Y,Y,Y,N,N,Functional
Arizona,Sojourn Church,602-753-8298,sojournchurchaz.com,scott@sojournchurchaz.com,Rev. Scott R. Korljan,09-24-25,Y,N,N,N,,Functional
Arizona,The King's Well,623-238-6560,Thekingswell.org,Alex@thekingswell.org,Rev. Alex Diaz,09-24-25,N,N,N,,,Functional
Ascension,Berean Presbyterian Church,724-758-7671,www.bereanpca.org,berean@zoominternet.net,Rev. Cody Hooper,09-24-25,Y,Y,N,N,N,Functional
Ascension,Chapel Presbyterian Church,724-495-0297,www.chapelpca.com,info@chapelpca.com,Rev. Thomas J. Stein Jr.,09-24-25,N,N,N,,,Functional
Ascension,Christ Covenant PCA,814-670-9925,christcovpca.com,jcoyer.ccf@gmail.com,Rev. Jeremy James Coyer,09-24-25,Y,N,N,N,,Functional
Ascension,Christ Presbyterian Church,724-843-1423,christpca.com,-,Rev. Scott P. Moreland,09-24-25,Y,Y,N,N,N,Functional
Ascension,Fairview Reformed Presbyterian Church,724-643-8104,www.fairviewpca.org,office@fairviewpca.org,Rev. Jeff K. Zehnder,09-24-25,Y,Y,N,N,N,Functional
Ascension,Faith Reformed Church,814-566-7742,www.frcerie.info,faithreformederie@gmail.com,Rev. David W. Hills,09-24-25,Y,Y,N,N,N,Functional
Ascension,Gospel Fellowship Presbyterian Church,724-898-3322,www.gospelfellowshippca.org,gospelfellowshippca@gmail.com,Rev. Matthew Everhard,09-24-25,N,N,N,,,Functional
Ascension,Hillcrest Presbyterian Church,724-533-4315,www.hillcrestpresbyterian.org,-,Rev. Stephen Richman,09-24-25,Y,Y,N,N,N,Functional
Ascension,Middlesex Presbyterian Church,724-586-7096,https://www.middlesexpca.com/,-,Rev. Kevin M. Bowen,09-24-25,N,N,N,,,Functional
Ascension,New Life Presbyterian Church of Hopewell Township,724-378-4389,www.newlifehopewell.com,pastorjared@newlifehopewell.com,Rev. Jared Nelson,09-24-25,N,N,N,,,Functional
Ascension,Reformed Presbyterian Church of Slate Lick,724-545-6441,www.rpcofslatelickpca.com,richcrofutt@rpcofslatelickpca.com,Rev. Richard Crofutt,09-24-25,N,N,N,,,Functional
Ascension,Rocky Springs Presbyterian Church,724-967-2756,www.rockyspringschurch.org,rscpca@gmail.com,Rev. Scott L. Fleming,09-24-25,Y,Y,N,N,N,Functional
Ascension,West Erie Presbyterian Church,814-504-6513,www.wepca.org,westeriepca@gmail.com,Rev. Marc D. Miller,09-24-25,Y,Y,N,N,N,Functional
Ascension,Westminster Presbyterian Church,724-283-4204,www.westminsterpca.com,office@westminsterpca.com,Rev. Dwight Dunn,09-24-25,Y,Y,N,N,N,Functional
Blue Ridge,Boonsboro Presbyterian Church,434-515-1177,www.redeemerlynchburg.org,elders@redeemerlynchburg.org,Rev. Robert Lee Smith III,N/A,,,,,,Broken
Blue Ridge,Christ Central,434-466-9944,www.christcentralcville.org,info@christcentralcville.org,Rev. Joseph Andrew Magri,09-25-25,Y,N,Y,N,,Functional
Blue Ridge,Christ Presbyterian Church,540-383-5014,www.christ-presbyterian.org,bill@christ-presbyterian.org,Rev. William B. Leach,09-25-25,Y,Y,N,N,N,Functional
Blue Ridge,Christ the King Presbyterian Church,540-725-5835,www.ctkroanoke.org,office@ctkroanoke.org,Rev. John Pennylegion,09-25-25,Y,Y,Y,N,N,Functional
Blue Ridge,Covenant Presbyterian Church,540-433-3051,www.cov-pres.org,office@cov-pres.org,Rev. Todd Pruitt,09-23-25,Y,Y,Y,N,N,Functional
Blue Ridge,Draper's Valley Presbyterian Church,540-994-9015,www.dvpca.org,drapers.valley@dvpca.org,Rev. Roland Mathews,09-25-25,Y,Y,Y,N,N,Functional
Blue Ridge,Eagle Heights Presbyterian Church,843-301-4197,www.eagleheightspca.org,office@eagleheightspca.org,Rev. Clenton A. Ilderton,09-25-25,Y,Y,N,N,N,Functional
Blue Ridge,Grace Community Church,434-975-2259,www.cvillegrace.org,info@cvillegrace.org,Rev. Jon Christopher Anderson,09-23-25,Y,Y,Y,N,N,Functional
Blue Ridge,Grace Covenant Presbyterian Church,540-552-3364,www.gracecovenantpca.org,secretary@gracecovenantpca.org,Rev. Christopher A. Hutchinson,09-25-25,Y,Y,Y,N,N,Functional
Blue Ridge,Grace Presbyterian Church,540-463-2374,www.gracerockbridge.org,office@gracerockbridge.org,Rev. Justin Clement,09-23-25,Y,Y,Y,N,N,Functional
Blue Ridge,Harvestwood Covenant Presbyterian Church,540-745-3614,harvestwood.org,hatterstudio@gmail.com,Rev. Michael Hill,09-23-25,Y,N,N,N,,Functional
Blue Ridge,High Bridge Presbyterian,434-414-1375,-,highbridgepres@gmail.com,-,N/A,,,,,,No Website
Blue Ridge,Holy Cross Presbyterian Church,540-885-5551,https://holycrosspca.org/,office@holycrosspca.org,Rev. Jake A. Bennett,09-25-25,Y,Y,Y,N,N,Functional
