City,St,Church,Pastor,Stat Year,Comm,Non Comm,Total,Prof Child,Prof Adult,Trans Letter,Reaffir-mation,Re-stored,Total,Death,Trans,Rem'v fr Roll,Discipl,Total,,Adult Bapt,Infant Bapt,Ruling Elders,Deacons,Family Units,Sunday School Attend,Small Group Attend,Est Morn Attend,Grades *Included,Total Enrollment,Tithes & Offerings,"Special
Causes",Building Fund Offering,Other Contrib,Total Contrib,Other Income,Total Church Income,,Admini-stration,Disciple-ship Min.,Mission to N. America,Mission to the World,Covenant College,Covenant Seminary,"Ridge
Haven",Reformed University Ministries,PCA Office Building,Other,Total,Presbytery Operation,Christian Education,Home Missions,"Internat'l
Missions",Other Pres-bytery Min,Total,,Local Ministries,Mercy Ministires,"PCA Internat'l
Missions",PCA Home Mission,Non-PCA Mission,PCA Schools,Non-PCA Schools,Total,TOTAL Benevolent Disbursements,Current Expenses,Building Fund,GRAND TOTAL: All Disbursements,"Benevol/
Grand Total",Per Capita Giving
Baltimore,MD,Abbott Memorial Presbyterian Church,Chris W. Garriott,2015,152,32,184,3,4,0,0,0,7,2,0,31,0,33,,0,1,4,4,45,34,,110,,,"$245,376 ","$95,416 ",$0 ,$0 ,"$340,792 ",$0 ,"$340,792 ",,$0 ,$0,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,520 ",$0 ,$0 ,"$2,520 ","$3,300 ",$0 ,"$24,000 ",$0 ,$0 ,"$27,300 ",,"$1,700 ","$14,000 ","$16,589 ",$0 ,"$55,416 ",$0 ,$0 ,"$87,705 ","$117,525 ","$221,737 ","$10,458 ","$349,720 ",34%,"$2,242"
Abingdon,VA,Abingdon Presbyterian Church,John Dawson,2024,61,3,64,,,3,,,3,,2,,,2,,,,3,4,36,14,30,40,,,"$157,019 ","$17,852 ",,,"$174,871 ",,"$174,871 ",,,,,,,,,,,,$0 ,"$1,200 ",,,,,"$1,200 ",,"$3,720 ","$4,000 ","$9,600 ","$2,500 ","$4,800 ",,"$2,400 ","$27,020 ","$28,220 ","$146,651 ",,"$174,871 ",16%,"$2,867"
Somers,NY,Affirmation Presbyterian Church,William Spanjer,2024,35,5,40,,,2,,,2,,,,,0,,,,2,2,19,11,4,22,,,"$130,145 ","$11,012 ",,,"$141,157 ","$9,938 ","$151,095 ",,$500 ,,,,,,,,,,$500 ,"$1,000 ",,,,,"$1,000 ",,,,,"$6,500 ","$25,800 ",,,"$32,300 ","$33,800 ","$70,436 ",,"$104,236 ",32%,"$4,033"
Ridgeway,SC,Aimwell Presbyterian Church,Erwin Threatt,2024,85,4,89,0,1,0,0,0,1,0,0,0,0,0,,0,0,3,3,23,18,10,35,,,"$189,997 ",,,"$10,340 ","$200,337 ","$8,667 ","$209,004 ",,,,,,,,,,,,$0 ,,,,,,,,"$3,120 ","$4,740 ",,"$2,830 ","$17,938 ",,"$1,000 ","$29,628 ","$29,628 ","$151,563 ",,"$181,191 ",16%,"$2,357"
Forest Hill,MD,Aisquith Presbyterian Church,John Edward Ceselsky,2024,73,11,84,,,2,,,2,5,3,2,,10,,,,2,4,50,23,,69,,,"$248,417 ","$6,393 ","$35,889 ","$22,955 ","$313,654 ",,"$313,654 ",,$500 ,$500,$500 ,$500 ,$500 ,$500 ,,$500 ,,,"$3,500 ","$1,000 ",,,,,"$1,000 ",,"$3,000 ",,"$15,400 ","$3,400 ","$24,600 ",,,"$46,400 ","$50,900 ","$296,796 ","$27,214 ","$374,910 ",14%,"$4,297"
Alexandria,VA,Alexandria Presbyterian Church,Thomas G. Holliday,2024,457,184,641,17,11,27,23,0,78,0,27,34,0,61,,3,14,11,8,236,236,180,488,,,"$2,548,406 ",,"$11,089 ","$103,696 ","$2,663,191 ","$365,893 ","$3,029,084 ",,"$3,479 ","$3,087","$11,318 ","$32,243 ","$4,348 ","$4,348 ","$1,755 ","$7,868 ",,,"$68,446 ",,,,,,"$22,000 ",,"$16,274 ","$148,565 ",,"$28,300 ","$162,633 ",,,"$355,772 ","$446,218 ","$1,662,561 ","$391,475 ","$2,500,254 ",18%,"$5,828"
Aliso Viejo,CA,Aliso Creek Church,Tom G. Gastil,2024,113,18,131,1,,8,,,9,,3,,,3,,,4,3,2,52,12,146,126,,,"$714,647 ","$23,342 ",,,"$737,989 ","$42,839 ","$780,828 ",,$500 ,$600,"$1,600 ","$1,000 ",,,,$250 ,,"$2,905 ","$6,855 ",,,,,,,,"$1,200 ","$12,404 ","$16,950 ","$11,400 ","$22,200 ",,,"$64,154 ","$71,009 ","$616,568 ",,"$687,577 ",10%,"$6,531"
Charlotte,NC,All Nations Presbyterian Mission Church,Joon Won Kang,2016,22,,22,,4,,,,4,,,1,,1,,,,2,4,14,,,,,,"$5,200 ","$1,500 ",,$500 ,"$7,200 ","$1,700 ","$8,900 ",,$100 ,,,,,,,,,,$100 ,$200 ,,,,,$200 ,,,,,,,,,$0 ,$300 ,,,$300 ,100%,$327
St. Paul,MN,All Saints Presbyterian Church,"Adam L. Brice, Stephen P. Beck",2023,198,90,288,3,0,3,8,0,14,0,8,4,0,12,,0,9,3,7,102,60,80,183,,,"$439,693 ","$17,422 ",$0 ,"$94,192 ","$551,307 ","$30,600 ","$581,907 ",,$750 ,,,,,,,,,,$750 ,"$1,500 ",,,,,"$1,500 ",,"$7,622 ","$27,465 ","$5,496 ","$16,866 ","$9,252 ",,,"$66,701 ","$68,951 ","$369,811 ","$49,607 ","$488,369 ",14%,"$2,784"
Brentwood,TN,All Saints Presbyterian Church,Matthew Todd Bradley,2022,90,21,111,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,
Green Bay,WI,All Saints Presbyterian Church,Chad Baudhuin,2023,48,9,57,1,3,,5,,9,,7,,,7,,,2,1,,20,,60,85,,,"$167,500 ","$2,100 ",,,"$169,600 ",,"$169,600 ",,,,,,,,,,,,$0 ,,,,,"$2,500 ","$2,500 ",,"$4,144 ","$1,628 ",,,"$2,400 ",,,"$8,172 ","$10,672 ","$185,080 ",,"$195,752 ",5%,"$3,533"
